t_GeV2,incoherent_nb_per_GeV2
4.620000000000000218e-01,3.728868721235539851e+01
4.650000000000000244e-01,3.725438394495784422e+01
4.680000000000000271e-01,3.721906626808986118e+01
4.710000000000000298e-01,3.718275552969190301e+01
4.740000000000000324e-01,3.714547270718227878e+01
4.770000000000000351e-01,3.710723841371822118e+01
4.799999999999999822e-01,3.706807290435162372e+01
4.829999999999999849e-01,3.702799608208035664e+01
4.859999999999999876e-01,3.698702750379903392e+01
4.889999999999999902e-01,3.694518638614855632e+01
4.919999999999999929e-01,3.690249161126781985e+01
4.949999999999999956e-01,3.685896173244826457e+01
4.979999999999999982e-01,3.681461497969388574e+01
5.010000000000000009e-01,3.676946926518681380e+01
5.040000000000000036e-01,3.672354218866122011e+01
5.070000000000000062e-01,3.667685104268733198e+01
5.100000000000000089e-01,3.662941281786608272e+01
5.130000000000000115e-01,3.658124420793593856e+01
5.160000000000000142e-01,3.653236161479440369e+01
5.190000000000000169e-01,3.648278115343492800e+01
5.220000000000000195e-01,3.643251865680029056e+01
5.250000000000000222e-01,3.638158968055503095e+01
5.280000000000000249e-01,3.633000950777655191e+01
5.310000000000000275e-01,3.627779315356832512e+01
5.340000000000000302e-01,3.622495536959466733e+01
5.370000000000000329e-01,3.617151064854001419e+01
5.400000000000000355e-01,3.611747322849144837e+01
5.430000000000000382e-01,3.606285709725012367e+01
5.460000000000000409e-01,3.600767599656744267e+01
5.490000000000000435e-01,3.595194342631167927e+01
5.520000000000000462e-01,3.589567264856368922e+01
5.550000000000000488e-01,3.583887669164407441e+01
5.580000000000000515e-01,3.578156835407239811e+01
5.610000000000000542e-01,3.572376020845898381e+01
5.640000000000000568e-01,3.566546460533318452e+01
5.670000000000000595e-01,3.560669367690525178e+01
5.700000000000000622e-01,3.554745934076503744e+01
5.730000000000000648e-01,3.548777330352046988e+01
5.760000000000000675e-01,3.542764706437170474e+01
5.789999999999999591e-01,3.536709191862790647e+01
5.819999999999999618e-01,3.530611896116300841e+01
5.849999999999999645e-01,3.524473908981403270e+01
5.879999999999999671e-01,3.518296300872206217e+01
5.909999999999999698e-01,3.512080123161681655e+01
5.939999999999999725e-01,3.505826408504645286e+01
5.969999999999999751e-01,3.499536171155214959e+01
5.999999999999999778e-01,3.493210407279040908e+01
6.029999999999999805e-01,3.486850095260123794e+01
6.059999999999999831e-01,3.480456196002588598e+01
6.089999999999999858e-01,3.474029653227354686e+01
6.119999999999999885e-01,3.467571393763790155e+01
6.149999999999999911e-01,3.461082327836448513e+01
6.179999999999999938e-01,3.454563349346998535e+01
6.209999999999999964e-01,3.448015336151399168e+01
6.239999999999999991e-01,3.441439150332391250e+01
6.270000000000000018e-01,3.434835638467432517e+01
6.300000000000000044e-01,3.428205631892095795e+01
6.330000000000000071e-01,3.421549946959060406e+01
6.360000000000000098e-01,3.414869385292674053e+01
6.390000000000000124e-01,3.408164734039302601e+01
6.400000000000000133e-01,3.405924631042099548e+01
6.420000000000000151e-01,3.401436766113468479e+01
6.450000000000000178e-01,3.394686240439719427e+01
6.480000000000000204e-01,3.387913902190605597e+01
6.510000000000000231e-01,3.381120483020519885e+01
6.540000000000000258e-01,3.374306701295625288e+01
6.570000000000000284e-01,3.367473262319950322e+01
6.600000000000000311e-01,3.360620858557593493e+01
6.630000000000000338e-01,3.353750169851328167e+01
6.660000000000000364e-01,3.346861863637334977e+01
6.690000000000000391e-01,3.339956595156510843e+01
6.720000000000000417e-01,3.333035007662030580e+01
6.750000000000000444e-01,3.326097732623588143e+01
6.780000000000000471e-01,3.319145389928057455e+01
6.810000000000000497e-01,3.312178588076867669e+01
6.840000000000000524e-01,3.305197924380006924e+01
6.870000000000000551e-01,3.298203985146731299e+01
6.900000000000000577e-01,3.291197345873157332e+01
6.930000000000000604e-01,3.284178571426593862e+01
